Order ID,Order Date,Month,Quarter,Year,Customer Name,Customer Email,City,State,Product ID,Product Name,Category,Sub-Category,Brand,Unit Price (?),Quantity,Discount (%),Discount Amount (?),Sale Price per Unit (?),Gross Revenue (?),Net Revenue (?),Shipping Cost (?),Total Order Value (?),Profit Margin (%),Profit (?),Payment Method,Sales Channel,Device Type,Order Status,Customer Rating,Repeat Customer
ORD-11039,2024-01-01,January,Q1,2024,Neha Gupta,neha.gupta@hotmail.com,Lucknow,Uttar Pradesh,P016,Prestige Iris 750W Mixer,Home & Kitchen,Appliances,Prestige,2899,1,25,724.75,2174.25,2899,2174.25,0,2174.25,9.4,204.38,Debit Card,Paid Ads,Mobile,Delivered,3.8,Yes
ORD-11326,2024-01-01,January,Q1,2024,Rohan Joshi,rohan.joshi@gmail.com,Surat,Gujarat,P005,Lenovo IdeaPad Slim 3,Electronics,Laptops,Lenovo,42999,1,10,4299.9,38699.1,42999,38699.1,0,38699.1,21.2,8204.21,Debit Card,Direct,Desktop,Cancelled,,No
ORD-11062,2024-01-01,January,Q1,2024,Neha Gupta,neha.gupta@hotmail.com,Lucknow,Uttar Pradesh,P015,Fastrack Analog Watch,Fashion,Accessories,Fastrack,1795,2,0,0,1795,3590,3590,0,3590,12.6,452.34,Net Banking,Organic Search,Mobile,Delivered,4.3,Yes
ORD-10507,2024-01-01,January,Q1,2024,Suresh Menon,suresh.menon@gmail.com,Coimbatore,Tamil Nadu,P026,Atomic Habits — James Clear,Books & Stationery,Books,Penguin,399,2,15,119.7,339.15,798,678.3,0,678.3,20.2,137.02,Credit Card,Direct,Mobile,Delivered,4.7,Yes
ORD-11386,2024-01-02,January,Q1,2024,Sneha Iyer,sneha.iyer@gmail.com,Bangalore,Karnataka,P019,Milton Thermosteel Flask 1L,Home & Kitchen,Kitchen,Milton,599,2,15,179.7,509.15,1198,1018.3,0,1018.3,30.4,309.56,UPI,Organic Search,Mobile,Delivered,4.3,No
ORD-10856,2024-01-02,January,Q1,2024,Rahul Verma,rahul.verma@outlook.com,Delhi,Delhi,P026,Atomic Habits — James Clear,Books & Stationery,Books,Penguin,399,3,30,359.1,279.3,1197,837.9,0,837.9,29,242.99,Credit Card,Organic Search,Desktop,Delivered,4.9,No
ORD-11346,2024-01-02,January,Q1,2024,Vikram Singh,vikram.singh@gmail.com,Jaipur,Rajasthan,P002,Redmi Note 13,Electronics,Mobiles,Xiaomi,15999,1,0,0,15999,15999,15999,0,15999,15.9,2543.84,Cash on Delivery,Direct,Desktop,Cancelled,,No
ORD-11382,2024-01-03,January,Q1,2024,Pooja Mehta,pooja.mehta@gmail.com,Pune,Maharashtra,P014,Peter England Formal Shirt,Fashion,Men's Clothing,Peter England,899,2,20,359.6,719.2,1798,1438.4,0,1438.4,23.6,339.46,Credit Card,Email Campaign,Mobile,Cancelled,,No
ORD-10322,2024-01-03,January,Q1,2024,Shreya Bose,shreya.bose@gmail.com,Bhubaneswar,Odisha,P013,H&M Floral Dress,Fashion,Women's Clothing,H&M,1299,1,0,0,1299,1299,1299,0,1299,18.1,235.12,Net Banking,Paid Ads,Mobile,Delivered,4.2,No
ORD-10390,2024-01-03,January,Q1,2024,Sanjay Rao,sanjay.rao@yahoo.com,Hyderabad,Telangana,P007,Mi Smart Band 8,Electronics,Wearables,Xiaomi,2999,2,20,1199.6,2399.2,5998,4798.4,0,4798.4,23.6,1132.42,Debit Card,Organic Search,Desktop,Delivered,3.3,No
ORD-10394,2024-01-03,January,Q1,2024,Rohan Joshi,rohan.joshi@gmail.com,Surat,Gujarat,P021,Pigeon Non-Stick Cookware Set,Home & Kitchen,Kitchen,Pigeon,1299,2,20,519.6,1039.2,2598,2078.4,0,2078.4,20.7,430.23,UPI,Organic Search,Mobile,Returned,,No
ORD-11115,2024-01-03,January,Q1,2024,Nikhil Desai,nikhil.desai@outlook.com,Nagpur,Maharashtra,P014,Peter England Formal Shirt,Fashion,Men's Clothing,Peter England,899,2,10,179.8,809.1,1798,1618.2,0,1618.2,34.2,553.42,Wallet,Social Media,Desktop,Delivered,2.5,No
ORD-10819,2024-01-04,January,Q1,2024,Sonali Dutta,sonali.dutta@gmail.com,Siliguri,West Bengal,P027,The Psychology of Money,Books & Stationery,Books,Jaico,349,2,15,104.7,296.65,698,593.3,0,593.3,28.2,167.31,Wallet,Social Media,Desktop,Delivered,4.7,No
ORD-11180,2024-01-04,January,Q1,2024,Deepak Chauhan,deepak.chauhan@gmail.com,Dehradun,Uttarakhand,P011,Nike Air Max 270,Fashion,Footwear,Nike,7495,5,0,0,7495,37475,37475,0,37475,28.4,10642.9,UPI,Social Media,Mobile,Returned,,No
ORD-10829,2024-01-05,January,Q1,2024,Meera Pillai,meera.pillai@gmail.com,Thiruvananthapuram,Kerala,P020,Bajaj Majesty 1000TSS Iron,Home & Kitchen,Appliances,Bajaj,899,1,5,44.95,854.05,899,854.05,0,854.05,21.1,180.2,UPI,Organic Search,Mobile,Cancelled,,Yes
ORD-10422,2024-01-05,January,Q1,2024,Shreya Bose,shreya.bose@gmail.com,Bhubaneswar,Odisha,P018,IKEA LACK Side Table,Home & Kitchen,Furniture,IKEA,2499,2,10,499.8,2249.1,4998,4498.2,0,4498.2,28.4,1277.49,Net Banking,Social Media,Desktop,Delivered,4.5,No
ORD-10209,2024-01-05,January,Q1,2024,Priya Patel,priya.patel@yahoo.com,Ahmedabad,Gujarat,P021,Pigeon Non-Stick Cookware Set,Home & Kitchen,Kitchen,Pigeon,1299,2,0,0,1299,2598,2598,0,2598,30.8,800.18,Wallet,Paid Ads,Tablet,Returned,,No
